Title,SJR,H index,IPP,SNIP,Total Docs. (2023),Total Docs. (3years),Total Refs.,Est. value (USD) (2023),Total Cites (3years),Self-Cites/Total Cites (3years),Uncited Docs./Total Docs. (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,Coverage_Duration,Publisher,Labels
Review of Economic Studies,13.609,177,6.845238095,4.535904964,94,249,5410,2278601,1637,0.016493586,0.104417671,249,5.86,57.55,93,Oxford University Press,1
Immunity,13.578,475,24.17657993,3.929350751,233,688,15608,6320543,13408,0.019018496,0.165697674,550,16.87,66.99,32,Cell Press,1
Nature Catalysis,13.315,162,35.07954545,5.112130298,180,470,6682,4453472,11846,0.011987169,0.212765957,367,23.65,37.12,8,Nature Publishing Group,1
Morbidity and Mortality Weekly Report,13.08,274,21.64261745,6.512649082,307,1115,2113,9143671,19608,0.012851897,0.164125561,946,16.96,6.88,45,Department of Health and Human Services,1
Chemical Society Reviews,12.511,673,44.38636364,7.024083904,252,983,61439,7741038,43457,0.009871827,0.012207528,979,38.14,243.81,54,Royal Society of Chemistry,1
American Economic Journal: Macroeconomics,12.324,88,6.095588235,3.8609565,55,137,2838,1185915,820,0.032926829,0.153284672,137,5.79,51.6,16,American Economic Association,1
Nature Reviews Methods Primers,12.294,67,42.34939759,13.07381577,61,154,7940,682504,3956,0.003791709,0.051948052,86,25.69,130.16,4,Springer Nature,1
eScience,12.288,63,41,5.172043287,59,79,4725,311955,3279,0.01768832,0,78,41.51,80.08,5,KeAi Communications Co.,1
Nature Neuroscience,12.261,496,21.75213675,4.743146608,279,620,12314,6022309,9803,0.017851678,0.222580645,495,14.48,44.14,28,Nature Research,1
The Lancet Oncology,12.179,432,25.24513875,6.381075245,388,1454,5208,12727543,18298,0.007815062,0.40784044,633,11.62,13.42,26,Elsevier Ltd,1
The Lancet,12.113,936,33.74088233,7.383201861,1390,4043,22032,37953443,66124,0.006699534,0.407618105,1369,14.46,15.85,203,Elsevier B.V.,1
Science,11.902,1382,34.33677419,6.928031643,2117,8199,42282,71694127,117626,0.007081768,0.482497866,4167,13.58,19.97,145,American Association for the Advancement of Science,1
Nature Cancer,11.9,81,18.76,3.001517194,176,454,7513,2521393,5952,0.010080645,0.273127753,298,12.22,42.69,6,Nature Research,1
Journal of Marketing,11.799,296,16.38410596,4.933318777,49,173,3778,1351008,2606,0.039907905,0.046242775,152,13.89,77.1,38,American Marketing Association,1
Annual Review of Pathology: Mechanisms of Disease,11.748,156,35.61904762,7.795769944,22,63,3087,531310,2367,0,0.015873016,63,28.84,140.32,19,Annual Reviews Inc.,1
Joule,11.724,221,31.05333333,4.644581384,218,682,10656,6087944,18383,0.01305554,0.076246334,525,24.95,48.88,9,Cell Press,1
Nature Electronics,11.667,131,29.94880546,6.364867875,196,507,5029,4314912,9305,0.015905427,0.313609467,303,15.87,25.66,8,Nature Publishing Group,1
Nature Reviews Chemistry,11.603,131,32.37426901,5.79630057,107,283,7360,2537384,5614,0.003562522,0.356890459,172,19.48,68.79,9,Nature Publishing Group,1
Cell Metabolism,11.406,368,25.59915612,4.427990936,182,607,11807,5247949,12421,0.013203446,0.123558484,488,18.51,64.87,21,Cell Press,1
Nature Immunology,11.274,452,23.05744681,3.675683945,303,770,10345,6772378,10856,0.017041268,0.337662338,527,13.73,34.14,26,Nature Research,1
Nature Photonics,11.249,404,30.0084507,7.294316603,208,516,6812,4968073,11185,0.012606169,0.228682171,362,20.23,32.75,19,Nature Publishing Group,1
Journal of Economic Literature,11.092,189,12.41891892,8.818498992,36,76,4802,688895,1014,0.007889546,0.171052632,75,11.62,133.39,32,American Economic Association,1
Energy and Environmental Science,10.935,466,31.64884135,4.077867613,459,1125,37015,9838819,35698,0.026416046,0.024888889,1117,30.17,80.64,18,Royal Society of Chemistry,1
Physiological Reviews,10.821,401,31.76271186,8.106404788,51,129,24473,1158286,4014,0.004733433,0.031007752,119,31.08,479.86,81,American Physiological Society,1
Journal of Clinical Oncology,10.639,646,22.45116681,6.162419721,782,1661,20940,15219003,26470,0.020967133,0.282360024,1203,13.82,26.78,43,Lippincott Williams and Wilkins,1
Academy of Management Review,10.486,320,14.97794118,5.127634937,43,146,4234,1246639,2126,0.028222013,0.075342466,137,15.39,98.47,43,Academy of Management,1
MMWR Surveillance Summaries,10.275,119,25.34567901,10.02187968,9,47,401,374067,1471,0.005438477,0.212765957,42,45.57,44.56,22,Centers for Disease Control and Prevention (CDC),1
Cell Stem Cell,10.253,316,17.99751244,3.32890015,150,547,8906,4417995,7478,0.025942765,0.199268739,424,12.48,59.37,19,Cell Press,1
The Lancet Diabetes and Endocrinology,10.247,189,22.89909361,5.928347452,194,575,4605,4875438,7095,0.011275546,0.330434783,222,12.56,23.74,13,Elsevier Ltd,1
Nature Reviews Disease Primers,10.215,210,81.95412844,25.88830072,52,233,7205,1903728,7480,0.001069519,0.214592275,148,32.03,138.56,11,Nature Publishing Group,1
Living Reviews in Relativity,10.188,101,36.38461538,7.691594247,5,14,4669,130143,481,0.006237006,0.071428571,14,26.1,933.8,28,Springer International Publishing AG,1
Psychological Science in the Public Interest,9.887,62,42.1,15.6921062,9,21,1002,168502,437,0.00228833,0.142857143,12,10.29,111.33,25,SAGE Publications Inc.,1
Journal of Hepatology,9.857,319,24.84683358,5.805240024,424,1323,14982,10275607,18478,0.033661652,0.257747543,683,12.85,35.33,41,Elsevier B.V.,1
Annual Review of Condensed Matter Physics,9.821,96,21.03636364,6.545532017,19,55,3059,482728,1223,0.006541292,0.109090909,55,15.63,161,15,Annual Reviews Inc.,1
Nature Reviews Gastroenterology and Hepatology,9.741,211,30.19572954,6.173985753,154,459,9253,3792248,9081,0.006276842,0.374727669,283,17.98,60.08,17,Nature Research,1
Astronomy and Astrophysics Review,9.664,84,26.08333333,5.766052955,5,24,2659,185410,629,0.007949126,0,24,26.29,531.8,35,Springer Verlag,1
Nature Reviews Microbiology,9.639,393,34.51388889,6.539555762,163,503,8036,4323557,12182,0.004104416,0.514910537,361,26.51,49.3,23,Nature Research,1
Nature Reviews Earth and Environment,9.521,91,36.64248705,8.973676165,121,344,8353,1676257,7515,0.005988024,0.377906977,228,20.44,69.03,6,Springer International Publishing,1
Cell Research,9.506,232,25.02586207,4.119061746,139,458,4709,3562483,7495,0.003602402,0.194323144,239,12.63,33.88,30,Springer Nature,1
Annual Review of Psychology,9.438,298,25.75308642,10.24582333,23,84,3671,702396,2210,0.001809955,0.047619048,81,25.81,159.61,74,Annual Reviews Inc.,1
The Lancet Public Health,9.434,106,22.04844227,5.866682691,164,504,4181,4132216,7592,0.007376185,0.212301587,218,12.2,25.49,10,Elsevier Ltd,1
Molecular Cell,9.332,459,13.83512195,2.583938798,377,1259,25245,10535288,14669,0.033744632,0.154090548,1091,10.58,66.96,29,Cell Press,1
Advanced Materials,9.191,675,28.87817152,3.856347504,2372,4810,177034,43098220,138270,0.039553048,0.012266112,4775,27.82,74.63,37,Wiley-Blackwell,1
Journal of Econometrics,9.161,198,7.567328918,4.205613249,280,454,13146,4028610,3215,0.069051322,0.246696035,436,8.91,46.95,53,Elsevier B.V.,1
The Lancet Gastroenterology and Hepatology,8.957,123,22.01268732,5.786983411,229,671,4946,5134558,7583,0.012923645,0.375558867,255,10.11,21.6,10,Elsevier Ltd,1
American Economic Journal: Applied Economics,8.933,117,6.405797101,3.853948536,54,140,3650,1245358,885,0.016949153,0.092857143,140,5.02,67.59,16,American Economic Association,1
Annual Review of Economics,8.925,84,7.488636364,4.037484244,28,88,2805,741303,691,0.013024602,0.102272727,88,6.46,100.18,15,Annual Reviews Inc.,1
Acta Numerica,8.913,91,17.47058824,11.38126811,7,19,1443,145180,412,0.004854369,0,19,19.62,206.14,33,Cambridge University Press,1
Nature Cell Biology,8.913,420,16.84318766,3.074662023,237,556,9519,4931599,6455,0.006816421,0.257194245,421,9.79,40.16,27,Nature Research,1
Reviews of Geophysics,8.853,207,26.70769231,7.973520266,17,67,6358,576407,1895,0.005277045,0.029850746,65,25.59,374,63,John Wiley and Sons Inc,1
Cell Genomics,8.807,31,10.04878049,2.938117212,139,108,9611,1058207,942,0.043524416,0.175925926,82,8.72,69.14,5,Cell Press,1
Journal of the American College of Cardiology,8.762,512,19.42610365,6.317801972,631,2377,15404,19976873,21203,0.029335471,0.336137989,1049,8.12,24.41,43,Elsevier Inc.,1
Science Immunology,8.761,123,26.10319872,6.277200101,152,517,9197,3921628,7795,0.012828736,0.145067698,497,13.97,60.51,10,American Association for the Advancement of Science,1
Advanced Energy Materials,8.748,355,26.7717937,3.289286632,968,2209,74993,18978006,58460,0.039736572,0.008601177,2194,24.8,77.47,15,John Wiley and Sons Inc,1
Signal Transduction and Targeted Therapy,8.737,161,32.65658094,5.307962361,457,1102,58854,7441887,23780,0.012026913,0.127041742,662,20.59,128.78,10,Springer Nature,1
Advances in Optics and Photonics,8.735,91,29.59459459,11.75925568,14,42,4278,367532,1319,0.009097801,0.119047619,39,27.12,305.57,16,Optica Publishing Group (formerly OSA),1
IEEE Journal on Selected Areas in Communications,8.707,274,14.36879433,3.846014031,258,724,12672,5474567,12986,0.026721084,0.064917127,706,16.5,49.12,43,Institute of Electrical and Electronics Engineers Inc.,1
Annual Review of Neuroscience,8.658,269,14.19736842,3.512829909,20,76,2705,593710,1148,0.006968641,0.026315789,76,12.98,135.25,47,Annual Reviews Inc.,1
eLight,8.65,32,24.4516129,7.549642611,24,30,1592,118942,793,0.011349306,0.033333333,29,26.43,66.33,5,Springer,1
The Lancet Neurology,8.589,379,22.09568352,5.668708359,275,801,5471,6823040,9467,0.011196789,0.465667915,329,10.08,19.89,24,Elsevier Ltd,1
Circulation,8.415,691,21.85134037,6.956144566,525,2020,15417,16569487,27441,0.015524216,0.327227723,1304,13.2,29.37,76,Lippincott Williams and Wilkins,1
Psychological Bulletin,8.412,379,22.81443299,9.412654705,29,112,6012,903012,2788,0.011119082,0.026785714,111,16.89,207.31,122,American Psychological Association,1
Nature Reviews Cardiology,8.408,201,26.39516129,6.304900265,146,496,9418,3819745,7510,0.005193076,0.435483871,250,14.27,64.51,17,Nature Research,1
Journal of Accounting and Economics,8.337,197,7.4,4.115340166,48,137,2875,1086890,890,0.047191011,0.072992701,135,4.86,59.9,47,Elsevier B.V.,1
Academy of Management Journal,8.271,396,10.78538813,3.744823157,73,224,7952,1915408,2239,0.044662796,0.03125,222,8.48,108.93,50,Academy of Management,1
Nature Physics,8.228,349,17.78827362,4.424321557,418,1019,12493,8701424,11121,0.016095675,0.368989205,628,10.25,29.89,21,Nature Publishing Group,1
Molecular Cancer,8.222,222,33.72076372,4.736616092,190,520,23895,4142150,14459,0.01410886,0.069230769,444,23.14,125.76,24,BioMed Central Ltd,1
AI Open,8.119,23,27.93181818,12.13696641,21,46,1045,192338,1866,0.001607717,0.130434783,44,19.54,49.76,6,KeAi Communications Co.,1
Gut,8.052,364,22.36306729,4.84745028,407,1033,14484,8571381,15955,0.0208712,0.1839303,651,15.1,35.59,66,BMJ Publishing Group,1
Foundations and Trends in Finance,8.051,24,3.75,2.61723394,2,4,435,26564,14,0,0,4,5,217.5,16,Now Publishers Inc,1
Nature Microbiology,7.982,157,19.95633188,3.680799646,249,625,12456,5764416,9471,0.01003062,0.1728,467,12.67,50.02,10,Nature Research,1
The Lancet Respiratory Medicine,7.965,197,20.86220565,5.449032529,283,958,5251,7523754,11867,0.009437937,0.297494781,438,11.5,18.55,13,Elsevier Ltd,1
Nature Biomedical Engineering,7.951,140,24.88856305,4.291159083,154,441,9008,3456324,8596,0.010120987,0.192743764,346,20.66,58.49,9,Nature Research,1
Endocrine Reviews,7.922,317,26.26966292,7.435743339,42,95,10730,864418,2352,0.005102041,0.115789474,95,22.46,255.48,46,The Endocrine Society,1
Journal of Thoracic Oncology,7.879,190,16.36479592,3.905676109,254,800,6398,6458881,7422,0.035839396,0.31375,393,9.68,25.19,20,Elsevier Inc.,1
Nature Reviews Neuroscience,7.86,493,17.24497992,4.164587989,109,404,9497,3348827,4509,0.007318696,0.574257426,255,11.02,87.13,26,Springer Nature,1
JAMA Oncology,7.843,193,20.412527,5.394466677,341,1202,6049,9633192,10065,0.010730253,0.409317804,500,7.93,17.74,11,American Medical Association,1
Nature Reviews Physics,7.833,87,30.04093567,8.171257794,135,375,8768,2549515,5773,0.006409146,0.378666667,188,16.61,64.95,7,Springer International Publishing,1
The Lancet Psychiatry,7.827,160,17.96850822,4.739752555,218,882,4186,6881442,9381,0.007888285,0.439909297,316,7.89,19.2,12,Elsevier Ltd,1
Strategic Management Journal,7.82,351,10.45744681,3.615699682,111,284,9272,2428499,2876,0.059109875,0.049295775,283,9.36,83.53,46,John Wiley and Sons Ltd,1
Progress in Materials Science,7.796,255,40.37810945,8.581194027,131,203,50591,1917217,8272,0.010880077,0.024630542,201,36.34,386.19,56,Elsevier Ltd,1
Review of Finance,7.769,83,7.341085271,3.969522047,61,129,3138,995972,847,0.021251476,0.11627907,128,6.18,51.44,24,Oxford University Press,1
ACM Transactions on Graphics,7.766,264,6.670602125,2.431381083,268,848,17376,6064225,8723,0.121632466,0.038915094,848,9.8,64.84,43,Association for Computing Machinery (ACM),1
Cell Host and Microbe,7.76,255,17.74720358,2.784610394,206,616,11486,5014357,8650,0.01734104,0.224025974,459,12.62,55.76,19,Cell Press,1
Neuron,7.728,548,12.75526024,2.988104562,357,1181,23601,9830755,11959,0.03018647,0.219305673,940,9.18,66.11,38,Cell Press,1
Nature Climate Change,7.724,296,24.17321016,5.887020415,315,823,10035,6746231,12008,0.015739507,0.285540705,446,13.61,31.86,15,Nature Research,1
Annual Review of Organizational Psychology and Organizational Behavior,7.706,86,17.63265306,6.896664543,21,52,2494,451890,831,0.008423586,0.076923077,49,14.35,118.76,12,Annual Reviews Inc.,1
Annual Review of Plant Biology,7.555,307,21.75,5.663842693,29,109,5021,843023,2460,0.006504065,0.04587156,104,18.69,173.14,29,Annual Reviews Inc.,1
Review of Economics and Statistics,7.553,211,5.904545455,3.680495822,107,220,4859,1930932,1306,0.014548239,0.118181818,220,5.08,45.41,47,MIT Press Journals,1
Journal of Management,7.539,296,16.5915493,5.183282245,99,219,12658,2054196,3598,0.030016676,0.050228311,205,15.47,127.86,51,SAGE Publications Inc.,1
Cancer Discovery,7.533,250,21.68336315,3.80261655,347,1297,10066,9117527,13342,0.010867936,0.505011565,986,10.26,29.01,15,American Association for Cancer Research Inc.,1
Journal of Hematology and Oncology,7.522,171,26.78431373,4.489126701,114,531,11430,3498364,12084,0.011916584,0.047080979,413,20.87,100.26,18,BioMed Central Ltd,1
Journal of Economic Perspectives,7.496,239,9.669421488,5.597370387,42,124,2644,1041183,1279,0.005473026,0.096774194,124,7.29,62.95,33,American Economic Association,1
Living Reviews in Solar Physics,7.472,74,23.18181818,9.028489183,4,11,1893,95046,268,0.026119403,0,11,19.33,473.25,21,Springer International Publishing AG,1
Nature Protocols,7.419,320,16.16188525,3.387042598,150,492,8949,3810589,7961,0.006657455,0.030487805,487,12.95,59.66,20,Springer Nature,1
Nature Sustainability,7.366,146,25.53002611,5.329150099,251,513,9291,4497297,10701,0.011774601,0.14619883,376,18.41,37.02,8,Nature Publishing Group,1
Gastroenterology,7.362,482,19.6606383,4.752494779,556,2269,11551,16875298,21208,0.017540551,0.422212428,1128,7.73,20.78,81,W.B. Saunders,1
Annual Review of Clinical Psychology,7.348,158,20.44444444,7.061059001,20,63,2622,516510,1365,0.002197802,0,63,18.07,131.1,20,Annual Reviews Inc.,1
The Lancet Digital Health,7.277,85,26.10019551,6.485846727,133,393,3587,2399602,5454,0.010267693,0.203562341,192,14.18,26.97,7,Elsevier Ltd,1
Nature Reviews Endocrinology,7.274,224,22.3539823,5.599311571,147,480,7091,3712339,5925,0.005232068,0.404166667,227,10.84,48.24,17,Nature Publishing Group,1
Innovation,7.268,55,27.82414437,6.623729196,142,294,5288,1687316,5236,0.00802139,0.136054422,177,19.26,37.24,6,Cell Press,1
ACS Energy Letters,7.202,223,19.75330396,2.603598072,604,1442,29991,11904127,27678,0.038875641,0.031206657,1382,18.05,49.65,10,American Chemical Society,1
Genome Biology,7.197,319,11.71812865,2.520798682,286,896,20219,7308265,10891,0.026811128,0.060267857,865,9.66,70.7,26,BioMed Central Ltd,1
Journal of the Academy of Marketing Science,7.194,221,18.82080925,5.443238389,72,189,6475,1484139,3683,0.038555525,0.100529101,173,12.72,89.93,53,Springer New York,1
Nature Metabolism,7.192,92,16.28715365,3.170551047,224,516,10277,3460975,6285,0.017661098,0.253875969,396,10.72,45.88,7,Springer Berlin,1
Annals of Mathematics,7.154,145,5.96969697,6.473773296,32,99,1423,792022,560,0.005357143,0.070707071,99,5.27,44.47,30,Department of Mathematics at Princeton University,1
Nature Structural and Molecular Biology,7.151,310,12.06318681,2.386879666,254,501,11604,4538349,4391,0.015258483,0.261477046,388,8.15,45.69,23,Nature Research,1
Publications Mathematiques de l'Institut des Hautes Etudes Scientifiques,7.086,52,5.545454545,6.665973133,7,22,484,186604,117,0,0.090909091,22,5.42,69.14,63,Springer Verlag,1
Nucleic Acids Research,7.048,675,14.66797386,3.83933468,1169,3869,70775,30967119,55549,0.040900826,0.096148876,3859,15.07,60.54,52,Oxford University Press,1
Nature Chemistry,6.94,308,17.03420523,3.334464111,276,663,10701,5628268,8850,0.010056497,0.20361991,511,12.33,38.77,17,Nature Publishing Group,1
European Urology,6.928,274,19.05641026,6.596258142,328,1278,5272,10174981,8556,0.022206639,0.501564945,390,7.33,16.07,51,Elsevier B.V.,1
Journal of Experimental Medicine,6.838,503,12.44546649,2.27530143,222,814,10870,5996896,9675,0.009612403,0.12039312,778,10.12,48.96,128,Rockefeller University Press,1
Materials Science and Engineering R: Reports,6.822,182,29.60924699,7.187015462,25,76,9139,558887,2752,0.005813953,0,76,35,365.56,33,Elsevier B.V.,1
Electrochemical Energy Reviews,6.791,76,27.43010753,3.916797471,34,94,8854,498251,2531,0.012248123,0.021276596,94,25.29,260.41,8,Springer Science and Business Media B.V.,1
Fungal Diversity,6.787,136,24.38095238,6.774937512,14,67,4934,478660,1454,0.064649243,0.044776119,64,21,352.43,28,Springer Nature,1
Clinical Microbiology Reviews,6.762,340,25.51851852,7.446606791,24,109,5637,829905,2928,0.00273224,0.036697248,108,17.7,234.88,37,American Society for Microbiology,1
Organizational Research Methods,6.712,148,13.59302326,5.044386796,25,90,2455,687574,1027,0.019474197,0.111111111,87,11.72,98.2,28,SAGE Publications Inc.,1
International Journal of Computer Vision,6.668,232,14.98901099,5.341502225,168,471,12184,3218741,8969,0.014382874,0.127388535,457,17.4,72.52,39,Springer Netherlands,1
Journal of the European Economic Association,6.658,125,4.437229437,2.834082449,67,232,4447,1653688,1040,0.015384615,0.172413793,232,4.33,66.37,23,Wiley-Blackwell,1
Journal of Accounting Research,6.625,179,6.573913043,3.456861959,40,116,2715,878684,671,0.049180328,0.051724138,116,4.94,67.88,30,Wiley-Blackwell Publishing Ltd,1
Science Robotics,6.601,122,18.80530973,5.277476349,94,297,3891,2210461,5325,0.015962441,0.104377104,233,16.78,41.39,10,American Association for the Advancement of Science,1
Journal of Monetary Economics,6.564,158,4.599388379,2.716527033,77,329,3047,2210016,1457,0.03431709,0.218844985,327,3.95,39.57,51,Elsevier B.V.,1
Chem,6.556,167,18.04292528,2.716895025,280,798,14086,6130632,11914,0.009820379,0.154135338,634,11.96,50.31,10,Elsevier Inc.,1
American Economic Journal: Economic Policy,6.519,97,5.726744186,3.631039523,64,173,4093,1364662,1011,0.015825915,0.086705202,173,5.39,63.95,16,American Economic Association,1
Science Translational Medicine,6.51,303,14.36760427,2.590110237,292,1149,18171,8660531,15419,0.00603152,0.141862489,1102,14.67,62.23,17,American Association for the Advancement of Science,1
Nano-Micro Letters,6.484,146,27.80131363,3.348724046,238,609,23213,4136201,16719,0.042646091,0.019704433,608,29.29,97.53,17,Open Access Science Online,1
Journal of Applied Psychology,6.453,353,11.58823529,3.597473326,88,378,10559,2573382,4057,0.052748336,0.068783069,374,8.83,119.99,109,American Psychological Association,1
Physics Reports,6.435,328,27.96794872,8.008358883,52,157,22361,1228820,4544,0.006382042,0.01910828,157,25.9,430.02,55,Elsevier B.V.,1
Journal of the American Mathematical Society,6.428,116,4.630769231,5.169896552,24,65,1331,518983,302,0.006622517,0.107692308,65,5.1,55.46,38,American Mathematical Society,1
Neuro-Oncology,6.348,178,16.24375,4.643415591,233,775,8300,5286196,7943,0.029711696,0.278709677,485,11.72,35.62,27,Oxford University Press,1
The Lancet Infectious Diseases,6.329,304,18.57870192,4.831760637,464,1542,7218,12044706,15217,0.008280213,0.359922179,643,9.85,15.56,25,Elsevier Ltd,1
Review of Asset Pricing Studies,6.315,33,10.05633803,3.52025056,20,75,1136,458505,683,0.001464129,0.293333333,74,2.49,56.8,14,Oxford University Press,1
ACM Computing Surveys,6.28,232,19.82830189,8.2601272,333,510,55634,4180014,14393,0.018481206,0.021568627,510,29.55,167.07,57,Association for Computing Machinery (ACM),1
Advances in Methods and Practices in Psychological Science,6.269,49,15.56470588,6.398960499,37,89,2208,402821,1333,0.026256564,0.056179775,85,15.43,59.68,8,SAGE Publications Inc.,1
JAMA Psychiatry,6.241,417,18.65988372,5.64060285,223,653,5794,5264862,7053,0.01091734,0.251148545,379,11.34,25.98,13,American Medical Association,1
Nature Reviews Neurology,6.237,225,17.2014652,4.132008997,150,451,8192,3682819,5376,0.006324405,0.392461197,272,10.68,54.61,17,Nature Research,1
